"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"252","2.2609522342681885","2.2609522342681885","2.2609522342681885"
"253","2.2385528087615967","2.2385528087615967","2.2385528087615967"
"254","2.2480924129486084","2.2480924129486084","2.2480924129486084"
"255","2.249981641769409","2.249981641769409","2.249981641769409"
"256","2.240661382675171","2.240661382675171","2.240661382675171"
"257","2.235048294067383","2.235048294067383","2.235048294067383"
"258","2.226128578186035","2.226128578186035","2.226128578186035"
"259","2.2106592655181885","2.2106592655181885","2.2106592655181885"
"260","2.2324554920196533","2.2324554920196533","2.2324554920196533"
"261","2.2240679264068604","2.2240679264068604","2.2240679264068604"
"262","2.224958658218384","2.224958658218384","2.224958658218384"
"263","2.2075722217559814","2.2075722217559814","2.2075722217559814"
"264","2.2310943603515625","2.2310943603515625","2.2310943603515625"
"265","2.223224639892578","2.223224639892578","2.223224639892578"
"266","2.1975793838500977","2.1975793838500977","2.1975793838500977"
"267","2.2009801864624023","2.2009801864624023","2.2009801864624023"
"268","2.210724115371704","2.210724115371704","2.210724115371704"
"269","2.2132084369659424","2.2132084369659424","2.2132084369659424"
"270","2.213182210922241","2.213182210922241","2.213182210922241"
"271","2.2104685306549072","2.2104685306549072","2.2104685306549072"
"272","2.218740224838257","2.218740224838257","2.218740224838257"
"273","2.2175610065460205","2.2175610065460205","2.2175610065460205"
"274","2.2259554862976074","2.2259554862976074","2.2259554862976074"
"275","2.2095165252685547","2.2095165252685547","2.2095165252685547"
"276","2.240407943725586","2.240407943725586","2.240407943725586"
"277","2.209564447402954","2.209564447402954","2.209564447402954"
"278","2.201639413833618","2.201639413833618","2.201639413833618"
"279","2.2117605209350586","2.2117605209350586","2.2117605209350586"
"280","2.2057945728302","2.2057945728302","2.2057945728302"
"281","2.187035322189331","2.187035322189331","2.187035322189331"
"282","2.2027571201324463","2.2027571201324463","2.2027571201324463"
"283","2.190695285797119","2.190695285797119","2.190695285797119"
"284","2.1895737648010254","2.1895737648010254","2.1895737648010254"
"285","2.187117099761963","2.187117099761963","2.187117099761963"
"286","2.175581693649292","2.175581693649292","2.175581693649292"
"287","2.186655044555664","2.186655044555664","2.186655044555664"
"288","2.1839609146118164","2.1839609146118164","2.1839609146118164"
"289","2.184112071990967","2.184112071990967","2.184112071990967"
"290","2.1761937141418457","2.1761937141418457","2.1761937141418457"
"291","2.183753728866577","2.183753728866577","2.183753728866577"
"292","2.179097890853882","2.179097890853882","2.179097890853882"
"293","2.1824309825897217","2.1824309825897217","2.1824309825897217"
"294","2.17087721824646","2.17087721824646","2.17087721824646"
"295","2.163998603820801","2.163998603820801","2.163998603820801"
"296","2.1566131114959717","2.1566131114959717","2.1566131114959717"
"297","2.1796207427978516","2.1796207427978516","2.1796207427978516"
"298","2.2306087017059326","2.2306087017059326","2.2306087017059326"
"299","2.237602710723877","2.237602710723877","2.237602710723877"
"300","2.248652696609497","2.248652696609497","2.248652696609497"
"301","2.231782913208008","2.231782913208008","2.231782913208008"
"302","2.2121269702911377","2.2121269702911377","2.2121269702911377"
"303","2.215320110321045","2.215320110321045","2.215320110321045"
"304","2.191882848739624","2.191882848739624","2.191882848739624"
"305","2.1616342067718506","2.1616342067718506","2.1616342067718506"
"306","2.1817970275878906","2.1817970275878906","2.1817970275878906"
"307","2.1698503494262695","2.1698503494262695","2.1698503494262695"
"308","2.169132709503174","2.169132709503174","2.169132709503174"
"309","2.1663150787353516","2.1663150787353516","2.1663150787353516"
"310","2.142293930053711","2.142293930053711","2.142293930053711"
"311","2.156665086746216","2.156665086746216","2.156665086746216"
"312","2.1535677909851074","2.1535677909851074","2.1535677909851074"
"313","2.142194986343384","2.142194986343384","2.142194986343384"
"314","2.1466243267059326","2.1466243267059326","2.1466243267059326"
"315","2.1421399116516113","2.1421399116516113","2.1421399116516113"
"316","2.1457602977752686","2.1457602977752686","2.1457602977752686"
"317","2.1342391967773438","2.1342391967773438","2.1342391967773438"
"318","2.138131856918335","2.138131856918335","2.138131856918335"
"319","2.131866216659546","2.131866216659546","2.131866216659546"
"320","2.121675491333008","2.121675491333008","2.121675491333008"
"321","2.120664596557617","2.120664596557617","2.120664596557617"
"322","2.141413450241089","2.141413450241089","2.141413450241089"
"323","2.114403247833252","2.114403247833252","2.114403247833252"
"324","2.1277785301208496","2.1277785301208496","2.1277785301208496"
"325","2.1116061210632324","2.1116061210632324","2.1116061210632324"
"326","2.1293067932128906","2.1293067932128906","2.1293067932128906"
"327","2.1240193843841553","2.1240193843841553","2.1240193843841553"
"328","2.1275529861450195","2.1275529861450195","2.1275529861450195"
"329","2.1201817989349365","2.1201817989349365","2.1201817989349365"
"330","2.1188924312591553","2.1188924312591553","2.1188924312591553"
"331","2.123338222503662","2.123338222503662","2.123338222503662"
"332","2.1130990982055664","2.1130990982055664","2.1130990982055664"
"333","2.1236674785614014","2.1236674785614014","2.1236674785614014"
"334","2.1095995903015137","2.1095995903015137","2.1095995903015137"
"335","2.1330723762512207","2.1330723762512207","2.1330723762512207"
"336","2.11338472366333","2.11338472366333","2.11338472366333"
"337","2.1090471744537354","2.1090471744537354","2.1090471744537354"
"338","2.0963010787963867","2.0963010787963867","2.0963010787963867"
"339","2.098640203475952","2.098640203475952","2.098640203475952"
"340","2.091216802597046","2.091216802597046","2.091216802597046"
"341","2.101388931274414","2.101388931274414","2.101388931274414"
"342","2.1090455055236816","2.1090455055236816","2.1090455055236816"
"343","2.097242832183838","2.097242832183838","2.097242832183838"
"344","2.1048476696014404","2.1048476696014404","2.1048476696014404"
"345","2.0987977981567383","2.0987977981567383","2.0987977981567383"
"346","2.123505115509033","2.123505115509033","2.123505115509033"
"347","2.107477903366089","2.107477903366089","2.107477903366089"
"348","2.0776681900024414","2.0776681900024414","2.0776681900024414"
"349","2.1012816429138184","2.1012816429138184","2.1012816429138184"
"350","2.093230962753296","2.093230962753296","2.093230962753296"
"351","2.0980498790740967","2.0980498790740967","2.0980498790740967"
"352","2.162637710571289","2.162637710571289","2.162637710571289"
"353","2.114457130432129","2.114457130432129","2.114457130432129"
"354","2.115030288696289","2.115030288696289","2.115030288696289"
"355","2.140481948852539","2.140481948852539","2.140481948852539"
"356","2.1181466579437256","2.1181466579437256","2.1181466579437256"
"357","2.1178505420684814","2.1178505420684814","2.1178505420684814"
"358","2.108004093170166","2.108004093170166","2.108004093170166"
"359","2.1017022132873535","2.1017022132873535","2.1017022132873535"
"360","2.1035313606262207","2.1035313606262207","2.1035313606262207"
"361","2.09364652633667","2.09364652633667","2.09364652633667"
"362","2.0897343158721924","2.0897343158721924","2.0897343158721924"
"363","2.0871307849884033","2.0871307849884033","2.0871307849884033"
"364","2.0978353023529053","2.0978353023529053","2.0978353023529053"
"365","2.088637590408325","2.088637590408325","2.088637590408325"
"366","2.0742249488830566","2.0742249488830566","2.0742249488830566"
"367","2.0810983180999756","2.0810983180999756","2.0810983180999756"
"368","2.0794577598571777","2.0794577598571777","2.0794577598571777"
"369","2.059262752532959","2.059262752532959","2.059262752532959"
